"recno";"numfor";"razsoc";"fantasia";"endfor";"telfor1";"telfor2";"faxfor";"baifor";"cidfor";"estfor";"cepfor";"cgcfor";"iefor";"repres";"endrep";"telrep1";"telrep2";"faxrep";"cidrep";"estrep";"ceprep";"cgcrep";"ierep";"datae";"usuario";"email";"mexeu";"bairep"
"376";"378";"LUBNORTE-COMERCIO E REPRESENTACOES LTDA           ";"LUBNORTE                                          ";"RUA FRANCISCO SILVEIRA 131                        ";"(083)-32482326   ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50770-020";"06.280.000/339 -  ";"082240566         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"23/09/2022";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"375";"377";"BLACK PRIME NORDESTE COM. DE PRODUTOS INDUSTRIAIS ";"BLACK PRIME                                       ";"ESTRADA DA BATALHA,CONJ. ASO-5, N 1972            ";"(081)-34290876   ";"(081)-055569525  ";"            ";"JARDIM JORDAO       ";"JABOATAO DOS GUARARAPES";"PE";"54315-570";"37.040.705/0001-42";"08.8.597.440      ";"CASSIA                                            ";"AV. PRESIDENTE KENNEDY                            ";"8134273263       ";"8132431806       ";"25554545    ";"OLINDA                 ";"PE";"5302501  ";"30.005.643/0001-99";"07.6.439.003      ";"08/07/2021";"1-GERENTE ";"8134290876                ";"Ninguem   ";"                    "
"374";"376";"PGLE VEICULOS E SERVICOS-AFOGADOS                 ";"PIGALLE VEICULOS E SERVICOS                       ";"ESTRADA DOS REMEDIOS N1501                        ";"(081)-31285858   ";"(081)-31285858   ";"            ";"ILHA DO RETIRO      ";"RECIFE                 ";"PE";"50750-360";"22.424.379/0003-61";"071461400         ";"RAFAEL                                            ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"22.424.379/0003-61";"                  ";"07/04/2021";"1-ANTONIO ";"8                         ";"Ninguem   ";"                    "
"373";"375";"PECA FACIL DISTRIBUIDORA LTDA EPP                 ";"PACAFACIL                                         ";"RUA PROFESSOR DIONISIO MACIEL MOTEIRO N 469       ";"                 ";"(081)-3771-1200  ";"            ";"PEIXINHOS           ";"OLINDA                 ";"PE";"53290-010";"07.738.870/0003-73";"081835540         ";"SERGIO                                            ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"10/11/2020";"1-GERENTE ";"81 3771-1200              ";"Ninguem   ";"                    "
"372";"374";"COMERCIAL AUTOMOTIVA S.A.(DPK)                    ";"DPK                                               ";"RUA BEZERRA DA PALMA 126A                         ";"                 ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50770-690";"45.987.005/0203-85";"029625351         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"16/01/2020";"1-GERENTE ";"(81) 3338-8450            ";"Ninguem   ";"                    "
"371";"373";"CARTAO MAIS!                                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"37.3  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"13/08/2019";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"370";"372";"WURTH DO BRASIL PECAS DE FIXACAO LTDA             ";"WURTH                                             ";"JABOATAO DOS GUARARAPES PE                        ";"                 ";"                 ";"            ";"MURIBECA            ";"JABOATAO               ";"PE";"54355-030";"43.648.971/0050-33";"057565708         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"02/07/2019";"1-GERENTE ";"11)46131900               ";"Ninguem   ";"                    "
"369";"371";"DRF DA SILVA AUTOPECAS EPP                        ";"PECA+                                             ";"RUA GREGORIO JUNIOR LOJA 03                       ";"                 ";"                 ";"            ";"CORDEIRO            ";"RECIFE                 ";"PE";"50630-245";"13.672.339/0001-86";"044490453         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"24/04/2019";"1-GERENTE ";"(081)3076-0580            ";"Ninguem   ";"                    "
"368";"370";"HJ DISTRIBUIDORA LTDA                             ";"HJ                                                ";"RUA JAEN EMILE FAVRE                              ";"                 ";"(081)-30789688   ";"            ";"IPSEP               ";"RECIFE,                ";"PE";"         ";"19.512.555/0001-40";"                  ";"CACHORRO                                          ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"02/04/2019";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"367";"369";"POWERCAR BATERIAS                                 ";"POWERCAR                                          ";"GOMES TABORDA N 1645                              ";"                 ";"                 ";"            ";"CORDEIRO            ";"RECIFE                 ";"PE";"50630-250";"24.520.752/0001-41";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/10/2018";"1-GERENTE ";"081)30345319              ";"Ninguem   ";"                    "
"366";"368";"VN DIST DE PECAS AUTOM LTDA                       ";"VN                                                ";"RUA HAVAI N 150                                   ";"(081)-32494932   ";"                 ";"            ";"ESTANCIA            ";"RECIFE                 ";"PE";"50771-630";"14.422.675/0001-33";"075008238         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"14/08/2018";"1-GERENTE ";"32494932                  ";"Ninguem   ";"                    "
"365";"367";"ITAU-S.B.DA SILVA-CH EMPRESA                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"36.7  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"29/06/2018";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"364";"366";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"3 .   .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"25/06/2018";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"363";"365";"BOBINA IMPRESSORA BEMATECH (PAI & FILHO DIST)     ";"DISTRIBUIDORAPAIEFILHO@GMAIL.COM                  ";"BRUNODRABELLO@GMAIL.COM                           ";"(081)-99556-7441 ";"(081)-99525.8514 ";"            ";"                    ";"                       ";"  ";"         ";"36.5  .   /    -  ";"o zap ‚ o primeiro";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"29/11/2017";"1-GERENTE ";"9952585                   ";"Ninguem   ";"                    "
"362";"364";"PAULINHO DIESEL AUTOPECAS PARA AUTOMOTORES EIRELI ";"OLINDIESEL                                        ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"PE";"         ";"26.148.454/0001-06";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"31/10/2017";"1-GERENTE ";"081-3082-3081             ";"Ninguem   ";"                    "
"361";"363";"JR DISTRIBUICAO DE PECAS AUTOMOTIVAS              ";"JR                                                ";"RUA ENGENHO POETA TRAVESSA 2 RUA N 52             ";"                 ";"                 ";"            ";"IPUTINGA            ";"RECIFE                 ";"PE";"         ";"00.000.000/0000-00";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"17/08/2017";"1-GERENTE ";"32730133                  ";"Ninguem   ";"                    "
"360";"362";"GR LUBRIFICANTES LTDA                             ";"GR LUBRIFICANTE                                   ";"RUA MATA GRANDE N 1111                            ";"                 ";"(081)-30792922   ";"            ";"PRAZERES            ";"JABOATAO DOS GUARARAPES";"PE";"         ";"10.016.203/0001-20";"067402437         ";"LUIZ CARLOS                                       ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"16/05/2017";"1-GERENTE ";"30792922                  ";"Ninguem   ";"                    "
"359";"361";"J.G.DA SILVA FARIAS DIST PECAS -ME                ";"                                                  ";"RUA DA REGENERACAO                                ";"                 ";"                 ";"            ";"ARRUDA              ";"RECIFE                 ";"PE";"         ";"24.533.005/0001-48";"                  ";"CACHORRO                                          ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"30/03/2017";"1-GERENTE ";"3023-6309                 ";"Ninguem   ";"                    "
"358";"360";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"32.0  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"27/12/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"357";"359";"JLM DISTRIBUIDORA DE PECAS LTDA-ME                ";"JLM DISTRIBUIDORA                                 ";"R CATULO DA PAIXAO CEARENSE N§ 279                ";"(081)-98684-4345 ";"                 ";"            ";"CAMPO GRANDE        ";"RECIFE                 ";"PE";"52031-030";"25.002.535/0001-22";"067764266         ";"AGUIAR E CACHORRO                                 ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"15/12/2016";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"356";"358";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"45.   .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"21/09/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"355";"357";"RENOTECH-PACHECO NEVES E CARVALHO COM.AUTOM.LTDA  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"29.0  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"08/09/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"354";"356";"CYRIO DE MELO ARAUJO(CONTADOR)                    ";"                                                  ";"RUA SALVADOR DE MENDONCA,169                      ";"(081)-3244-9116  ";"(081)-9 9954-8642";"            ";"JARDIM BRASIL       ";"OLINDA                 ";"PE";"         ";"35.6  .   /    -  ";"                  ";"CX ECO FED AG:0050 OP.013 CONTA:856-1             ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"05/09/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"353";"355";"EKKO PARTS DISTRIBUIDORA AUTO PECAS LTDA ME       ";"EKO PARTS                                         ";"RUA SAO MIGUEL N§ 475                             ";"(081)-3422-6394  ";"                 ";"            ";"AFOGADOS            ";"RECIFE                 ";"PE";"50770-720";"16.417.234/0001-79";"049315641         ";"CICERO                                            ";"98798-4077                                        ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"26/08/2016";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"352";"354";"VIVO-GVT ACESSO INTERNET                          ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"18.3  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"18/08/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"351";"353";"E.F.MENDES                                        ";"J.R DISTRIBUIDORA                                 ";"                                                  ";"(081)-98740-7407 ";"(081)-3273-0133  ";"            ";"                    ";"                       ";"  ";"         ";"14.967.704/0001-42";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"15/07/2016";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"350";"352";"ALMO€O MENSAL FUNCIONARIOS                        ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"34.5  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/07/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"349";"351";"DIVERSOS                                          ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"29.5  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/07/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"348";"350";"COMISSAO                                          ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"19.5  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/07/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"347";"349";"SALARIO MENSAL FUNCIONARIOS                       ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"10.0  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/07/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"346";"348";"PASSAGEM MENSAL FUNCIONARIOS                      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"19.0  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/07/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"345";"347";"SANTANDER CARTAO CREDITO/DEBITO                   ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"34.7  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"16/06/2016";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"344";"346";"ELETROPARTS                                       ";"ELETROPARTS                                       ";"RUA JOSE DA SILVA LUCENA 387                      ";"                 ";"(081)-3127-2137  ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51160-350";"00.359.796/0002-54";"062992376         ";"CACHORRO                                          ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"07/01/2016";"1-GERENTE ";"3127-2137                 ";"Ninguem   ";"                    "
"343";"345";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"34.4  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"03/12/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"342";"344";"BILBAO SAVOYA IMP E EXP LOG E DIST EIRELI         ";"BILBAO                                            ";"RUA BARAO DE LADARIO N 570 CONJ 5188 BRAS         ";"                 ";"                 ";"            ";"BRAS SAO PAULO      ";"BRAS                   ";"SP";"03010-000";"19.513.608/0001-48";"140021960112      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"25/11/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"341";"343";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"26.   .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"17/11/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"340";"342";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"20.147.617/0045-62";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"30/10/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"339";"341";"J.S DISTRIBUIDORA DE LUBRIFICANTES LTDA ME        ";"J.S                                               ";"AV GAL MAC ARTHUR 1504 GALPAOA                    ";"(081)-3339-8429  ";"                 ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51160-280";"10.889.945/0001-60";"038138867         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"17/10/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"338";"340";"TPEI-TX PREVENCAO EXTIN€AO DE INCENDIO            ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"21.6  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"01/09/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"337";"339";"ZEENE PERNAMBUCO COM. DE PECAS AUTO.LTD           ";"ZEENE DISTRIBUIDORA                               ";"RUA RIACHAO N¦ 807                                ";"(081)-3797-7360  ";"                 ";"            ";"PRAZERES            ";"JABOATAO DOS GUARARAPES";"PE";"54335-025";"19.421.119/0001-66";"055857833         ";"EVELINE                                           ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"17/07/2015";"1-MARCELO ";"                          ";"Ninguem   ";"                    "
"336";"338";"AMIL-PLANO SAUDE-DENTAL                           ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"33.8  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"07/07/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"335";"337";"MAGNETI MARELLI COFAP FAB.DE PE€AS LTDA           ";"COFAP                                             ";"AV MANOEL DE NOBREGA  CONJ 14                     ";"                 ";"                 ";"            ";"CAPUAVA             ";"MAUA                   ";"SP";"09380-120";"02.865.246/0024-48";"442250240113      ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"30/06/2015";"1-GERENTE ";"00001121441000            ";"Ninguem   ";"                    "
"334";"336";"ALLAE AUT.COM.DE PECAS AUTOM.LTDA                 ";"BILBAO DISTRIBUIDORA                              ";"RUA GAMA LOBO N§1000                              ";"(   )-3806-1114  ";"(   )-4044-8000  ";"            ";"VL D PEDROI         ";"SAO PAULO              ";"SP";"04269-000";"20.618.590/0001-28";"143700983116      ";"CACHORRO                                          ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"05/06/2015";"1-MARCELO ";"4044-8000                 ";"Ninguem   ";"                    "
"333";"335";"CONTRIBUI€ÇO SINDICAL                             ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"33.5  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"30/04/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"332";"334";"IPSEP BATERIAS                                    ";"IPSEP                                             ";"RUA JEAN EMILE FAVRE N1738                        ";"(081)-30823459   ";"(081)-8832-2397  ";"            ";"IPSEP               ";"RECIFE                 ";"PE";"         ";"00.000.000/0000-00";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"27/04/2015";"1-GERENTE ";"(081)3471-0022            ";"Ninguem   ";"                    "
"331";"333";"ITBI                                              ";"BARAUNA                                           ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"33.3  .   /    -  ";"                  ";"PARCELAMENTO 9X675,24                             ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"13/02/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"330";"332";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"31.5  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/01/2015";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"329";"331";"JET LUB DISTRIBUIDORA                             ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"20.141.210/1630-40";"                  ";"LUIS CARLOS                                       ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"15/12/2014";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"328";"330";"SANTANDER CHEQUE PASSADO P/TERCEIRO(CICERO INO)   ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"33.0  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/11/2014";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"327";"329";"8                                                 ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"00.8  .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/11/2014";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"326";"328";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"8 .   .   /    -  ";"                  ";"SERGIO                                            ";"2125-2027                                         ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/11/2014";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"325";"327";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"4 .   .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/11/2014";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"324";"326";"                                                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"07.   .   /    -  ";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/11/2014";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
"323";"325";"SODIPE                                            ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                    ";"                       ";"  ";"         ";"7 .   .   /    -  ";"                  ";"ANINHA 9972-3668                                  ";"EMAIL COBSODIPE@HOTMAIL.COM                       ";"08002817090      ";"                 ";"            ";"FABIANA                ";"  ";"         ";"                  ";"                  ";"19/11/2014";"1-GERENTE ";"                          ";"Ninguem   ";"                    "
